RideID,PassengerID,IsConfirmed
119fb431-101b-49d7-be17-92e9caab7c87,28498461,0
119fb431-101b-49d7-be17-92e9caab7c87,28498467,0
1aa9cfe1-5983-4e69-b836-f2dd09f29b7b,28498440,1
1aa9cfe1-5983-4e69-b836-f2dd09f29b7b,28498441,0
351d6041-9b8f-4b93-b3c8-613788d14dbe,28498440,0
351d6041-9b8f-4b93-b3c8-613788d14dbe,28498459,1
4ced265c-6fa0-4485-a41c-267d1b8c52bf,28498439,1
553aced0-6547-41e5-9aaa-26ddf8e769ed,28498439,1
553aced0-6547-41e5-9aaa-26ddf8e769ed,28498461,0
6e0180e5-20d9-4e12-872f-f6b45ef5cd82,28498445,0
6e0180e5-20d9-4e12-872f-f6b45ef5cd82,28498461,0
6f179c80-7958-4a77-b0fb-00d61de45087,28498454,1
6f179c80-7958-4a77-b0fb-00d61de45087,28498466,0
7262c937-95e9-4526-9efc-1d2d65db305c,28498439,1
7262c937-95e9-4526-9efc-1d2d65db305c,28498456,1
7dad019c-c58d-42db-be4f-9d7d794b57ed,28498440,1
7dad019c-c58d-42db-be4f-9d7d794b57ed,28498453,1
9735ef94-75bf-49ed-bb07-953d50455b23,28498456,1
a1287b4e-2a85-444b-9813-c5a4759cce8c,28498448,1
a1287b4e-2a85-444b-9813-c5a4759cce8c,28498451,1
b673fea0-b774-41f3-9e76-2846183a7467,28498452,0
b83d9c8b-0278-4a57-9ba7-4b9673550776,28498446,0
b83d9c8b-0278-4a57-9ba7-4b9673550776,28498451,1
bc1f49d4-f927-4adf-97a8-86c33187bf44,28498447,0
bc1f49d4-f927-4adf-97a8-86c33187bf44,28498450,0
c409227a-e96e-4444-8749-15c2bd03d2ae,28498465,1
f29f6565-5bc4-495a-9878-4b91b3b876c3,28498450,1
f29f6565-5bc4-495a-9878-4b91b3b876c3,28498464,1
