RideID,SenderMemberID,ReceiverMemberID,Rating,RatingComment,RatedAt
0e255964-65fb-4e26-955c-beb69785393b,28498442,28498451,3.8,"Great ride, very smooth!",2026-02-15 01:24:17
0e255964-65fb-4e26-955c-beb69785393b,28498457,28498449,3.0,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
0e255964-65fb-4e26-955c-beb69785393b,28498457,28498459,4.8,Good communication and coordination.,2026-02-15 01:24:17
152056fd-7799-4aab-8156-c216eb76f0c3,28498450,28498462,3.8,"Pleasant trip, no issues.",2026-02-15 01:24:17
152056fd-7799-4aab-8156-c216eb76f0c3,28498458,28498459,3.3,Driver was punctual and polite.,2026-02-15 01:24:17
152056fd-7799-4aab-8156-c216eb76f0c3,28498462,28498451,3.3,Good communication and coordination.,2026-02-15 01:24:17
17bcba21-075c-49c6-8574-47214519b2e1,28498445,28498464,3.6,Clean car and comfortable journey.,2026-02-15 01:24:17
17bcba21-075c-49c6-8574-47214519b2e1,28498460,28498454,4.9,"Great ride, very smooth!",2026-02-15 01:24:17
17bcba21-075c-49c6-8574-47214519b2e1,28498466,28498467,4.8,Clean car and comfortable journey.,2026-02-15 01:24:17
1bea2983-7e49-4705-a8a9-36f467fd0873,28498447,28498465,3.8,Nice experience overall.,2026-02-15 01:24:17
1bea2983-7e49-4705-a8a9-36f467fd0873,28498462,28498459,4.8,"Pleasant trip, no issues.",2026-02-15 01:24:17
1bea2983-7e49-4705-a8a9-36f467fd0873,28498465,28498457,4.1,"Pleasant trip, no issues.",2026-02-15 01:24:17
1fd3e50d-c543-4110-ba47-7144a7321122,28498445,28498446,3.0,Friendly and cooperative member.,2026-02-15 01:24:17
1fd3e50d-c543-4110-ba47-7144a7321122,28498456,28498459,4.1,"Pleasant trip, no issues.",2026-02-15 01:24:17
1fd3e50d-c543-4110-ba47-7144a7321122,28498463,28498439,4.6,Clean car and comfortable journey.,2026-02-15 01:24:17
3357e8ea-a4a9-4f99-9a0a-3643a89d1a51,28498445,28498446,4.5,"Great ride, very smooth!",2026-02-15 01:24:17
3357e8ea-a4a9-4f99-9a0a-3643a89d1a51,28498456,28498462,3.6,"Great ride, very smooth!",2026-02-15 01:24:17
3357e8ea-a4a9-4f99-9a0a-3643a89d1a51,28498461,28498445,4.0,"Comfortable ride, would recommend.",2026-02-15 01:24:17
3a5cad27-a2e5-4f20-a70e-ddea0e82a852,28498438,28498446,3.8,Friendly and cooperative member.,2026-02-15 01:24:17
3a5cad27-a2e5-4f20-a70e-ddea0e82a852,28498449,28498448,4.4,Good communication and coordination.,2026-02-15 01:24:17
3a5cad27-a2e5-4f20-a70e-ddea0e82a852,28498459,28498442,3.6,Good communication and coordination.,2026-02-15 01:24:17
3cc9024d-a7ef-46db-87e7-480fadcfa16d,28498439,28498441,3.2,"Pleasant trip, no issues.",2026-02-15 01:24:17
3cc9024d-a7ef-46db-87e7-480fadcfa16d,28498443,28498465,4.3,"Comfortable ride, would recommend.",2026-02-15 01:24:17
3cc9024d-a7ef-46db-87e7-480fadcfa16d,28498456,28498448,3.0,Good communication and coordination.,2026-02-15 01:24:17
4515709e-df3f-4f01-829c-9bfa6aac3af7,28498448,28498462,3.6,Nice experience overall.,2026-02-15 01:24:17
4515709e-df3f-4f01-829c-9bfa6aac3af7,28498456,28498438,4.5,"Great ride, very smooth!",2026-02-15 01:24:17
4515709e-df3f-4f01-829c-9bfa6aac3af7,28498460,28498456,4.6,Friendly and cooperative member.,2026-02-15 01:24:17
458849ce-94ef-4371-bd9b-1c55b9bec9b6,28498449,28498462,4.0,"Comfortable ride, would recommend.",2026-02-15 01:24:17
458849ce-94ef-4371-bd9b-1c55b9bec9b6,28498465,28498445,4.3,"Pleasant trip, no issues.",2026-02-15 01:24:17
458849ce-94ef-4371-bd9b-1c55b9bec9b6,28498465,28498449,3.9,"Comfortable ride, would recommend.",2026-02-15 01:24:17
4675faeb-4be3-40b5-8350-031e9bdfb2da,28498468,28498474,4.0,Good experience,2026-03-22 17:14:05
480d513c-d0f3-44ae-802c-da1b7b64a87f,28498460,28498465,3.9,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
480d513c-d0f3-44ae-802c-da1b7b64a87f,28498462,28498448,4.3,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
480d513c-d0f3-44ae-802c-da1b7b64a87f,28498464,28498447,3.7,Nice experience overall.,2026-02-15 01:24:17
525867bd-3a18-403b-a0bb-601eee3ce3ee,28498441,28498457,4.4,"Great ride, very smooth!",2026-02-15 01:24:17
525867bd-3a18-403b-a0bb-601eee3ce3ee,28498443,28498440,3.5,Nice experience overall.,2026-02-15 01:24:17
525867bd-3a18-403b-a0bb-601eee3ce3ee,28498449,28498451,4.6,"Great ride, very smooth!",2026-02-15 01:24:17
5f2acb79-ebf8-49ef-8588-dd63706e769a,28498438,28498444,4.7,Friendly and cooperative member.,2026-02-15 01:24:17
5f2acb79-ebf8-49ef-8588-dd63706e769a,28498440,28498439,3.1,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
5f2acb79-ebf8-49ef-8588-dd63706e769a,28498442,28498460,3.2,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
62e067d5-5155-4b71-b65f-f7fdc2e1bbf9,28498438,28498439,4.6,Driver was punctual and polite.,2026-02-15 01:24:17
62e067d5-5155-4b71-b65f-f7fdc2e1bbf9,28498458,28498442,3.6,Good communication and coordination.,2026-02-15 01:24:17
62e067d5-5155-4b71-b65f-f7fdc2e1bbf9,28498459,28498462,3.5,"Comfortable ride, would recommend.",2026-02-15 01:24:17
66e87cba-96f7-4da4-bc09-eccea50bc882,28498468,28498489,2.0,,2026-04-02 02:51:49
66e87cba-96f7-4da4-bc09-eccea50bc882,28498489,28498468,5.0,,2026-03-28 16:41:21
754e06d2-a43b-4b62-8f4e-df9e15593eed,28498439,28498465,4.6,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
754e06d2-a43b-4b62-8f4e-df9e15593eed,28498447,28498464,3.4,"Great ride, very smooth!",2026-02-15 01:24:17
754e06d2-a43b-4b62-8f4e-df9e15593eed,28498449,28498466,4.5,Driver was punctual and polite.,2026-02-15 01:24:17
766d2473-dc58-413f-a814-8c54c928e701,28498439,28498440,4.5,"Pleasant trip, no issues.",2026-02-15 01:24:17
766d2473-dc58-413f-a814-8c54c928e701,28498445,28498444,3.1,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
766d2473-dc58-413f-a814-8c54c928e701,28498445,28498447,3.5,"Pleasant trip, no issues.",2026-02-15 01:24:17
78d88260-537c-4439-b175-ff06c4eb0fcd,28498438,28498463,3.4,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
78d88260-537c-4439-b175-ff06c4eb0fcd,28498447,28498445,3.9,Driver was punctual and polite.,2026-02-15 01:24:17
78d88260-537c-4439-b175-ff06c4eb0fcd,28498467,28498452,5.0,Driver was punctual and polite.,2026-02-15 01:24:17
7bafd39b-6e2c-44fb-8b65-373ab4607608,28498439,28498448,3.8,Friendly and cooperative member.,2026-02-15 01:24:17
7bafd39b-6e2c-44fb-8b65-373ab4607608,28498452,28498461,3.8,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
7bafd39b-6e2c-44fb-8b65-373ab4607608,28498452,28498464,4.1,"Great ride, very smooth!",2026-02-15 01:24:17
8469215d-ac85-4a64-ae88-51ec8a89bc09,28498440,28498467,3.7,"Comfortable ride, would recommend.",2026-02-15 01:24:17
8469215d-ac85-4a64-ae88-51ec8a89bc09,28498447,28498450,4.5,Nice experience overall.,2026-02-15 01:24:17
8469215d-ac85-4a64-ae88-51ec8a89bc09,28498448,28498440,3.5,"Comfortable ride, would recommend.",2026-02-15 01:24:17
8a668859-41ad-4a2e-baa8-8e9afd0f1061,28498447,28498440,4.9,"Comfortable ride, would recommend.",2026-02-15 01:24:17
8a668859-41ad-4a2e-baa8-8e9afd0f1061,28498460,28498455,3.1,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
8a668859-41ad-4a2e-baa8-8e9afd0f1061,28498467,28498464,4.7,"Comfortable ride, would recommend.",2026-02-15 01:24:17
8f5dedd8-21b3-4a5d-a1cf-8bd93db74b8c,28498447,28498444,4.2,Good communication and coordination.,2026-02-15 01:24:17
8f5dedd8-21b3-4a5d-a1cf-8bd93db74b8c,28498447,28498461,4.2,Friendly and cooperative member.,2026-02-15 01:24:17
8f5dedd8-21b3-4a5d-a1cf-8bd93db74b8c,28498465,28498438,4.5,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
8f7877f9-d082-4046-a9d0-daa413c1bcf8,28498438,28498453,4.0,Driver was punctual and polite.,2026-02-15 01:24:17
8f7877f9-d082-4046-a9d0-daa413c1bcf8,28498445,28498439,3.2,Good communication and coordination.,2026-02-15 01:24:17
8f7877f9-d082-4046-a9d0-daa413c1bcf8,28498457,28498464,4.9,"Great ride, very smooth!",2026-02-15 01:24:17
939a2d5e-4b8b-4614-b5a3-c3ac9fd6242f,28498450,28498465,3.0,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
939a2d5e-4b8b-4614-b5a3-c3ac9fd6242f,28498453,28498454,4.4,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
939a2d5e-4b8b-4614-b5a3-c3ac9fd6242f,28498458,28498466,4.9,Friendly and cooperative member.,2026-02-15 01:24:17
974ff030-0e5b-4c22-a242-dee141ffe44b,28498445,28498459,4.9,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
974ff030-0e5b-4c22-a242-dee141ffe44b,28498457,28498438,4.1,"Pleasant trip, no issues.",2026-02-15 01:24:17
974ff030-0e5b-4c22-a242-dee141ffe44b,28498463,28498467,3.9,Nice experience overall.,2026-02-15 01:24:17
9bd17bb6-2bf9-4245-bae6-5ac56f517ce4,28498445,28498463,4.7,"Great ride, very smooth!",2026-02-15 01:24:17
9bd17bb6-2bf9-4245-bae6-5ac56f517ce4,28498451,28498445,3.9,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
9bd17bb6-2bf9-4245-bae6-5ac56f517ce4,28498454,28498460,3.1,"Enjoyed the ride, thank you!",2026-02-15 01:24:17
9cdc933e-0676-41ba-ae65-7637db70d3ab,28498439,28498440,4.4,"Ride was fine, nothing to complain about.",2026-02-15 01:24:17
9cdc933e-0676-41ba-ae65-7637db70d3ab,28498454,28498463,4.0,Clean car and comfortable journey.,2026-02-15 01:24:17
9cdc933e-0676-41ba-ae65-7637db70d3ab,28498462,28498441,3.9,Driver was punctual and polite.,2026-02-15 01:24:17
